状态	then	else	if	do	while	begin	end	;	i	:=	not	(	)	rop	and	or	+	*	ci	#	S	if_else	ifB	B	WB	W	L	A	LS	E	BA	BO
0	 	 	s9	 	s10	s4	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	1	2	6	 	3	7	 	5	 	 	 	 
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	ACC	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	s9	 	s10	s4	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	11	2	6	 	3	7	 	5	 	 	 	 
3	 	 	 	s12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	s9	 	s10	s4	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	15	2	6	 	3	7	13	5	14	 	 	 
5	 	r8	 	 	 	 	r8	r8	 	 	 	 	 	 	 	 	 	 	 	r8	 	 	 	 	 	 	 	 	 	 	 	 
6	s16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	s22	 	s20	s21	 	 	 	 	 	 	 	 	 	 	 	17	 	 	 	 	 	 	18	19
8	 	 	 	 	 	 	 	 	 	s23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	s22	 	s20	s21	 	 	 	 	 	 	 	 	 	 	 	24	 	 	 	 	 	 	18	19
10	 	 	 	 	 	 	 	 	r6	 	r6	r6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	r1	 	 	 	 	r1	r1	 	 	 	 	 	 	 	 	 	 	 	r1	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	s9	 	s10	s4	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	25	2	6	 	3	7	 	5	 	 	 	 
13	 	 	 	 	 	 	s26	s27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	s9	 	s10	s4	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	15	2	6	 	3	7	28	5	14	 	 	 
15	 	 	 	 	 	 	r11	r11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	s9	 	s10	s4	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	29	2	6	 	3	7	 	5	 	 	 	 
17	 	 	 	r5	 	 	 	 	 	 	 	 	 	 	s30	s31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	s22	 	s20	s21	 	 	 	 	 	 	 	 	 	 	 	32	 	 	 	 	 	 	18	19
19	 	 	 	 	 	 	 	 	s22	 	s20	s21	 	 	 	 	 	 	 	 	 	 	 	33	 	 	 	 	 	 	18	19
20	 	 	 	 	 	 	 	 	s22	 	s20	s21	 	 	 	 	 	 	 	 	 	 	 	34	 	 	 	 	 	 	18	19
21	 	 	 	 	 	 	 	 	s22	 	s20	s21	 	 	 	 	 	 	 	 	 	 	 	35	 	 	 	 	 	 	18	19
22	r18	 	 	r18	 	 	 	 	 	 	 	 	r18	s36	r18	r18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	s39	 	 	s38	 	 	 	 	 	 	s40	 	 	 	 	 	 	 	 	 	 	37	 	 
24	r3	 	 	 	 	 	 	 	 	 	 	 	 	 	s30	s31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	r4	 	 	 	 	r4	r4	 	 	 	 	 	 	 	 	 	 	 	r4	 	 	 	 	 	 	 	 	 	 	 	 
26	 	r7	 	 	 	 	r7	r7	 	 	 	 	 	 	 	 	 	 	 	r7	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	r10	 	r10	r10	 	 	r10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
